Timestamp,Agreed,Gender,Age,Weight,Income,College fees,Scholarship,Loans,Course,CGPA,Backlog,Study Hours,Smartphone Usage,Laptop Usage,Sleep Hours,Medications,Financial Stress,Smoking Habit,Drinking Habit,Smartwatch,Smarthwatch Brand,Low BPM,Average BPM,High BPM,Steps walked 
2023/10/16 8:44:43 pm GMT+5:30,YES,Male,20,53,20000,26000,No,No,Bcom,6,3,2,5,1,2,No,4,No,Yes,Yes,Firebolt,62,80,110,10500
2023/10/16 9:06:39 pm GMT+5:30,YES,Female,22,64,25000,65000,No,Yes,MCA,6.5,0,6,3,4,6,No,5,No,No,No,,,,,
2023/10/16 9:16:26 pm GMT+5:30,YES,Female,19,58,60000,50000,No,Yes,BCA,8,0,1,3,0,7,No,6,No,No,No,,,,,
2023/10/16 9:16:35 pm GMT+5:30,YES,Female,18,51,,80000,No,No,BCA,8,0,1,2,1,7,No,3,No,No,No,,,,,
2023/10/16 10:33:06 pm GMT+5:30,YES,Female,22,30,30000,108000,No,Yes,MCA,6.4,0,0,3,3,8,Yes,9,No,Yes,No,,,,,
2023/10/17 12:36:06 am GMT+5:30,YES,Male,22,85,700000,110000,No,No,MCA,8,0,0,4,2,8,No,4,No,No,Yes,Boat,78,86,106,300000
2023/10/17 7:57:25 am GMT+5:30,YES,Male,23,65,50000,105000,No,No,MCA,7.5,0,1,2,1,5,No,5,No,No,No,,,,,
2023/10/17 8:30:37 am GMT+5:30,YES,Female,23,47,90000,108000,Yes,No,MCA,7,0,1,2,7,6,No,5,No,No,No,,,,,
2023/10/17 9:25:04 am GMT+5:30,YES,Male,22,65,20000,110000,No,Yes,MCA,7.8,0,1,3,2,8,No,5,No,No,No,,,,,
2023/10/17 10:08:29 am GMT+5:30,YES,Male,19,62,25000,20000,No,No,Bcom,8,6,6,4,1,8,No,5,No,No,Yes,Fire boult ,87,90,90,109020
2023/10/17 11:32:27 am GMT+5:30,YES,Female,25,62.5,30000,70000,Yes,Yes,BE,7.5,0,1,2,1,7,Yes,4,No,No,No,,,,,
2023/10/17 11:47:34 am GMT+5:30,YES,Male,22,70,50000,105000,No,Yes,MCA,7.64,0,0.5,10,5,6,No,10,No,No,Yes,Casio,110,120,130,100000
2023/10/17 4:59:07 pm GMT+5:30,YES,Female,18,42,11000,100000,Yes,No,BCA,8.5,0,3,3,0,6,No,8,No,No,No,,,,,
2023/10/17 5:28:58 pm GMT+5:30,YES,Female,22,51,100000,115000,No,No,MCA,8,0,2,6,1,8,No,8,No,No,No,,,,,
2023/10/17 5:30:18 pm GMT+5:30,YES,Female,22,48,50000,180000,No,Yes,Bcom,9,0,1,2,3,7,Yes,7,No,No,No,,,,,
2023/10/17 5:42:18 pm GMT+5:30,YES,Female,20,44,30000,56000,No,No,Bcom,8.08,0,2,3,0,8,No,7,No,No,No,,,,,
2023/10/17 5:49:02 pm GMT+5:30,YES,Female,20,50,60000,100000,No,Yes,Bsc,6,1,2,4,1,00:00,No,7,No,No,No,,,,,
2023/10/17 6:16:16 pm GMT+5:30,YES,Male,20,68,10000,50000,No,No,Bcom,8.2,0,0,2,0,6,No,4,No,No,Yes,Noise,95,120,130,150000
2023/10/17 6:17:59 pm GMT+5:30,YES,Female,20,42,,52000,No,No,Bcom,9.14,0,0,3,2,8,No,4,No,No,No,,,,,
2023/10/17 7:59:04 pm GMT+5:30,YES,Female,20,62,40000,52000,No,No,Bcom,7.9,0,1,3,2,8,Yes,8,No,No,Yes,boat,69,81,96,80000
2023/10/17 8:01:23 pm GMT+5:30,YES,Male,19,55,100000,75000,No,No,BCA,6,2,2,2,1,8,No,7,Yes,Yes,No,,,,,
2023/10/17 8:13:01 pm GMT+5:30,YES,Male,20,65,25000,72000,No,No,BCA,8.5,0,2,3,6,7,No,2,No,No,Yes,Pebble ,80,89,125,60000
2023/10/17 9:06:53 pm GMT+5:30,YES,Female,20,45,11000,50000,No,No,Bcom,6.8,0,2,2,1,6,No,3,No,No,Yes,Boat,62,80,95,105000
2023/10/17 9:10:26 pm GMT+5:30,YES,Female,20,50,15000,45000,Yes,No,BCA,7.1,0,3,3,2,5,Yes,4,No,Yes,Yes,Noise,75,85,115,120000
2023/10/17 10:11:14 pm GMT+5:30,YES,Female,27,47,40000,80000,Yes,Yes,BE,9.5,0,1,2,7,8,No,10,No,No,Yes,Factrack ,85,100,120,100000
2023/10/18 2:07:37 pm GMT+5:30,YES,Male,22,85,65000,150000,Yes,Yes,MCA,6.8,1,1,4,2,8,No,7,Yes,No,No,,,,,
2023/10/19 5:28:53 pm GMT+5:30,YES,Male,22,95,45000,105000,No,No,MCA,7,0,1,3,3,4,No,3,No,No,No,,,,,
2023/10/19 5:29:08 pm GMT+5:30,YES,Male,22,55,70000,105000,No,Yes,MCA,6,0,1,3,3,8,No,8,No,No,Yes,FastTrack ,65,82,95,65000
2023/10/19 5:29:46 pm GMT+5:30,YES,Female,21,78,100000,100000,No,No,MCA,7.88,0,4,4,7,7,No,6,No,No,No,,,,,
2023/10/19 5:32:31 pm GMT+5:30,YES,Female,22,55,100000,70000,No,Yes,MCA,7,0,2,4,3,7,No,7,No,No,Yes,Jocker and witch ,63,84,98,100000
2023/10/19 5:33:18 pm GMT+5:30,YES,Female,22,47,,150000,No,No,MCA,8,0,2,6,3,7,No,8,No,No,No,,,,,
2023/10/20 8:49:24 am GMT+5:30,YES,Female,21,40,50000,73000,No,No,Mcom,8.9,0,1,2,1,8,No,3,No,No,No,,,,,
2023/10/22 8:49:41 am GMT+5:30,YES,Female,20,45,40000,56000,No,No,Bcom,7.1,0,1,6,1,7,No,7,No,No,Yes,Maximafit ,52,79,97,365214
2023/10/26 1:56:31 pm GMT+5:30,YES,Female,24,46,80000,100000,No,No,MCA,8.52,0,2,4,3,8,Yes,5,No,No,No,,,,,
2023/10/26 2:03:10 pm GMT+5:30,YES,Female,24,68,30000,100000,No,No,MCA,7.8,0,2,2,2,8,No,4,No,No,No,,,,,
2023/11/07 2:01:44 pm GMT+5:30,YES,Male,28,75,200000,250000,Yes,No,MCA,7.1,0,1,3,5,8,No,4,No,No,No,,,,,
2023/11/09 9:14:36 pm GMT+5:30,YES,Female,21,59,100000,105000,No,No,MCA,8.9,5,2,4,2,7,No,4,No,No,No,,,,,
2023/12/02 1:43:32 pm GMT+5:30,YES,Female,22,49,150000,108000,No,No,MCA,8,0,1,6,3,8,No,7,No,No,No,,,,,
2023/12/02 8:52:41 pm GMT+5:30,YES,Female,23,53,100000,140000,No,No,MCA,7,0,2,3,2,7,No,5,No,No,Yes,Jocker and witch ,125,130,150,50000
2023/12/02 8:54:06 pm GMT+5:30,YES,Female,24,53,100000,150000,No,No,MCA,7,0,3,5,2,6,No,8,No,No,No,,,,,
2023/12/03 8:53:23 pm GMT+5:30,YES,Female,22,80,25000,,No,No,MCA,8.55,0,1,3,4,7,Yes,8,No,No,Yes,Boat,90,64,126,3000
2023/12/04 1:52:42 pm GMT+5:30,YES,Female,21,37,20000,26000,Yes,No,BCA,7,0,4,2,1,7,No,8,No,Yes,No,,,,,
2023/12/04 6:58:57 pm GMT+5:30,YES,Male,18,42,120,12,No,Yes,BE,10,0,1,2,7,9,No,1,No,No,No,,,,,
2023/12/07 2:03:46 pm GMT+5:30,YES,Male,22,,800000,105000,No,No,MCA,6.78,0,2,6,5,8,No,8,No,No,Yes,FastTrack ,80,100,120,5000
2023/12/09 4:28:27 pm GMT+5:30,YES,Female,22,44,500000,600000,No,Yes,MCA,7,0,1,6,4,7,Yes,6,No,No,No,,,,,
2023/12/10 7:22:21 pm GMT+5:30,YES,Male,22,88,25000,105000,No,Yes,MCA,6.9,0,1,3,2,8,No,6,Yes,Yes,Yes,Firebolt,63,79,96,354500
2023/12/10 8:59:56 pm GMT+5:30,YES,Male,22,88,36500,105000,No,No,MCA,7.6,3,1,2,2,8,No,6,Yes,No,Yes,Noise,75,86,103,456342
2023/12/11 1:30:15 pm GMT+5:30,YES,Male,22,89,22500,103000,Yes,Yes,MCA,7.6,0,1,3,3,9,No,6,Yes,Yes,Yes,Apple,67,86,98,536431
2023/12/12 8:04:10 pm GMT+5:30,Yes,Male,21,81,35000,105000,Yes,Yes,MCA,6.3,0,1,3,0,8,No,4,Yes,No,Yes,Amaze Fit,68,82,104,455000
2023/12/12 8:04:11 pm GMT+5:30,Yes,Male,21,82,40000,105000,Yes,No,MCA,6.5,0,1,3,0,9,No,5,No,No,Yes,Boat,70,81,98,465000
2023/12/12 8:04:11 pm GMT+5:30,Yes,Male,21,84,36000,105000,Yes,Yes,MCA,7.1,0,2,2,2,9,No,6,No,No,Yes,Boat,69,83,106,365400
2023/12/12 8:04:12 pm GMT+5:30,Yes,Male,21,90,50000,105000,Yes,No,MCA,7.5,1,2,2,2,9,No,6,No,No,Yes,Boat,74,84,105,390000
2023/12/12 8:04:12 pm GMT+5:30,Yes,Male,21,65,70000,105000,Yes,Yes,MCA,6.9,1,2,3,0,9,No,5,No,No,Yes,Boat,65,89,103,345652
2023/12/12 8:04:12 pm GMT+5:30,Yes,Male,21,67,62000,105000,Yes,No,MCA,6.8,1,2,3,0,10,No,5,No,No,Yes,Boat,71,81,107,364500
2023/12/12 8:04:13 pm GMT+5:30,Yes,Male,21,75,20000,105000,Yes,Yes,MCA,7.2,1,2,3,1,10,No,4,No,No,Yes,Boat,65,79,105,364500
2023/12/12 8:04:13 pm GMT+5:30,Yes,Male,21,70,25000,105000,Yes,No,MCA,6.3,2,1,1,3,10,No,8,Yes,Yes,Yes,FireBolt,69,76,98,450000
2023/12/12 8:04:13 pm GMT+5:30,Yes,Male,21,84,32000,105000,Yes,Yes,MCA,5.9,2,1,1,3,7,No,8,Yes,Yes,Yes,FireBolt,72,86,103,465000
2023/12/12 8:04:14 pm GMT+5:30,Yes,Male,22,76,20000,105000,No,Yes,MCA,7.1,1,2,1,3,7,No,6,Yes,Yes,Yes,FireBolt,73,89,96,364500
2023/12/12 8:04:37 pm GMT+5:30,Yes,Male,21,81,35000,105000,Yes,Yes,MCA,6.3,0,1,3,0,8,No,4,Yes,No,Yes,Amaze Fit,68,82,104,455000
2023/12/12 8:04:37 pm GMT+5:30,Yes,Male,21,82,40000,105000,Yes,No,MCA,6.5,0,1,3,0,9,No,5,No,No,Yes,Boat,70,81,98,465000
2023/12/12 8:04:38 pm GMT+5:30,Yes,Male,21,84,36000,105000,Yes,Yes,MCA,7.1,0,2,2,2,9,No,6,No,No,Yes,Boat,69,83,106,365400
2023/12/12 8:04:38 pm GMT+5:30,Yes,Male,21,90,50000,105000,Yes,No,MCA,7.5,1,2,2,2,9,No,6,No,No,Yes,Boat,74,84,105,390000
2023/12/12 8:04:39 pm GMT+5:30,Yes,Male,21,65,70000,105000,Yes,Yes,MCA,6.9,1,2,3,0,9,No,5,No,No,Yes,Boat,65,89,103,345652
2023/12/12 8:04:39 pm GMT+5:30,Yes,Male,21,67,62000,105000,Yes,No,MCA,6.8,1,2,3,0,10,No,5,No,No,Yes,Boat,71,81,107,364500
2023/12/12 8:04:40 pm GMT+5:30,Yes,Male,21,75,20000,105000,Yes,Yes,MCA,7.2,1,2,3,1,10,No,4,No,No,Yes,Boat,65,79,105,364500
2023/12/12 8:04:41 pm GMT+5:30,Yes,Male,21,70,25000,105000,Yes,No,MCA,6.3,2,1,1,3,10,No,8,Yes,Yes,Yes,FireBolt,69,76,98,450000
2023/12/12 8:04:41 pm GMT+5:30,Yes,Male,21,84,32000,105000,Yes,Yes,MCA,5.9,2,1,1,3,7,No,8,Yes,Yes,Yes,FireBolt,72,86,103,465000
2023/12/12 8:04:42 pm GMT+5:30,Yes,Male,22,76,20000,105000,No,Yes,MCA,7.1,1,2,1,3,7,No,6,Yes,Yes,Yes,FireBolt,73,89,96,364500
2023/12/12 8:05:25 pm GMT+5:30,Yes,Male,21,81,35000,105000,Yes,Yes,MCA,6.3,0,1,3,0,8,No,4,Yes,No,Yes,Amaze Fit,68,82,104,455000
2023/12/12 8:05:25 pm GMT+5:30,Yes,Male,21,82,40000,105000,Yes,No,MCA,6.5,0,1,3,0,9,No,5,No,No,Yes,Boat,70,81,98,465000
2023/12/12 8:05:26 pm GMT+5:30,Yes,Male,21,84,36000,105000,Yes,Yes,MCA,7.1,0,2,2,2,9,No,6,No,No,Yes,Boat,69,83,106,365400
2023/12/12 8:05:26 pm GMT+5:30,Yes,Male,21,90,50000,105000,Yes,No,MCA,7.5,1,2,2,2,9,No,6,No,No,Yes,Boat,74,84,105,390000
2023/12/12 8:05:26 pm GMT+5:30,Yes,Male,21,65,70000,105000,Yes,Yes,MCA,6.9,1,2,3,0,9,No,5,No,No,Yes,Boat,65,89,103,345652
2023/12/12 8:05:27 pm GMT+5:30,Yes,Male,21,67,62000,105000,Yes,No,MCA,6.8,1,2,3,0,10,No,5,No,No,Yes,Boat,71,81,107,364500
2023/12/12 8:05:27 pm GMT+5:30,Yes,Male,21,75,20000,105000,Yes,Yes,MCA,7.2,1,2,3,1,10,No,4,No,No,Yes,Boat,65,79,105,364500
2023/12/12 8:05:28 pm GMT+5:30,Yes,Male,21,70,25000,105000,Yes,No,MCA,6.3,2,1,1,3,10,No,8,Yes,Yes,Yes,FireBolt,69,76,98,450000
2023/12/12 8:05:28 pm GMT+5:30,Yes,Male,21,84,32000,105000,Yes,Yes,MCA,5.9,2,1,1,3,7,No,8,Yes,Yes,Yes,FireBolt,72,86,103,465000
2023/12/12 8:05:28 pm GMT+5:30,Yes,Male,22,76,20000,105000,No,Yes,MCA,7.1,1,2,1,3,7,No,6,Yes,Yes,Yes,FireBolt,73,89,96,364500
2023/12/12 8:37:39 pm GMT+5:30,Yes,Male,22,92,25000,105000,No,Yes,MCA,6.3,1,1,2,1,7,No,7,No,Yes,Yes,FireBolt,69,73,98,254613
2023/12/12 8:37:40 pm GMT+5:30,Yes,Male,22,68,35000,105000,No,Yes,MCA,6.2,1,1,2,1,8,No,8,No,Yes,Yes,FireBolt,67,76,98,387452
2023/12/12 8:37:41 pm GMT+5:30,Yes,Male,22,73,30000,105000,No,Yes,MCA,6.5,1,1,2,0,8,No,4,No,No,Yes,FireBolt,65,75,104,452135
2023/12/12 8:37:41 pm GMT+5:30,Yes,Male,22,65,18500,105000,No,Yes,MCA,7.1,0,1,1,4,8,No,4,Yes,No,Yes,FireBolt,70,81,106,436521
2023/12/12 8:37:42 pm GMT+5:30,Yes,Male,22,74,22000,105000,No,Yes,MCA,7.2,0,1,2,2,9,No,5,Yes,No,Yes,Noise,73,83,98,321456
2023/12/12 8:37:42 pm GMT+5:30,Yes,Male,22,93,24500,105000,No,Yes,MCA,6.3,0,1,3,1,9,No,5,No,No,Yes,Noise,72,86,106,365412
2023/12/12 8:37:43 pm GMT+5:30,Yes,Male,22,68,32000,105000,No,Yes,MCA,8.5,0,3,2,2,9,No,6,No,No,Yes,Noise,63,79,98,456123
2023/12/12 8:37:43 pm GMT+5:30,Yes,Male,22,62,30000,105000,No,Yes,MCA,8.1,0,3,2,1,9,No,6,No,No,Yes,Noise,68,80,105,456324
2023/12/12 8:37:43 pm GMT+5:30,Yes,Male,22,75,25000,105000,No,Yes,MCA,8.3,0,3,1,3,9,No,6,No,No,Yes,Noise,71,83,102,365419
2023/12/12 8:37:44 pm GMT+5:30,Yes,Male,20,63,25000,95000,Yes,No,BCA,7.3,0,1,1,2,8,No,6,No,No,Yes,FireBolt,62,80,105,455000
2023/12/12 8:37:45 pm GMT+5:30,Yes,Male,20,63,25000,95000,Yes,No,BCA,6.3,0,1,2,1,10,No,5,No,No,Yes,FireBolt,63,81,101,365412
2023/12/12 8:37:45 pm GMT+5:30,Yes,Male,20,63,25000,95000,Yes,No,BCA,6.2,1,1,1,2,10,No,5,Yes,No,Yes,Fastrack,62,86,98,362145
2023/12/12 8:37:46 pm GMT+5:30,Yes,Male,20,65,25000,95000,Yes,No,BCA,6.4,1,1,1,1,12,No,4,Yes,Yes,Yes,Fastrack,64,79,98,451263
